"Year","LocationAbbr","LocationDesc","FacilityName","MedicalDirector","Address","City","Zipcode","Phone","Clinic Status","Topic","SubTopic","Data_Value","ClinicId","TopicId","SubTopicId","Geolocation"
"2020","NA","Other","National","None","None","None","None","None","Open","Clinic Services & Profile","Fertility preservation cycles","24120","9,999","TOP01","ST02",
"2020","TX","Texas","IVFMD-Arlington","Renju  Raj, MD","600 W. Mayfield Rd","Arlington","76014","(817) 701-1290","Open","Clinic Services & Profile","SART member","Yes","827","TOP01","ST14","POINT (-97.1133526 32.6905651)"
"2020","NA","Other","National","None","None","None","None","None","Open","Clinic Services & Profile","Gestational carrier services","90%","9,999","TOP01","ST13",
"2020","NA","National","National","None","None","None","None","None","Open","Clinic Services & Profile","Verified lab accreditation - Yes","88%","9,999","TOP01","ST15",
"2020","NA","National","National","None","None","None","None","None","Open","Clinic Services & Profile","Fertility preservation cycles","24120","9,999","TOP01","ST02",
"2020","NY","New York","Neway Medical","Ralf  Zimmermann, MD","123 W. 79th St","New York","10024","(212) 750-3330","Open","Clinic Services & Profile","Donated embryo services","No","619","TOP01","ST10","POINT (-73.9761388 40.7825399)"
"2020","AK","Alaska","Katie Ostrom MD, LLC","Gary  Levy, MD","205 W. Fairview Ave","Homer","99603","(907) 235-0555","Open","Clinic Services & Profile","Verified lab accreditation","No","842","TOP01","ST15","POINT (-151.2356 59.5374)"
"2020","NY","New York","CCRM New York","Janet M. Choi, MD","810 Seventh Ave, 21st Floor","New York","10019","(212) 290-8100","Open","Clinic Services & Profile","Pregnancies","319","708","TOP01","ST03","POINT (-73.9823263 40.7628107)"
"2020","NA","National","National","None","None","None","None","None","Open","Clinic Services & Profile","Total cycles","326471","9,999","TOP01","ST01",
"2020","NA","Other","National","None","None","None","None","None","Open","Clinic Services & Profile","Donor egg services","89%","9,999","TOP01","ST09",
"2020","NJ","New Jersey","Women's Fertility Center","Philip R. Lesorgen, MD","106 Grand Ave, Suite 400","Englewood","07631","(201) 569-6979","Open","Clinic Services & Profile","SART member","No","224","TOP01","ST14","POINT (-73.9759738 40.8896804)"
"2020","UT","Utah","Utah Center for Reproductive Medicine","Megan  Link, MD","675 Arapeen Dr, Suite 205","Salt Lake City","84108","(801) 581-3834","Open","Clinic Services & Profile","Deliveries","212","16","TOP01","ST04","POINT (-111.82601 40.7551871)"
"2020","CO","Colorado","Rocky Mountain Center for Reproductive Medicine","Kevin E. Bachus, MD","1080 E. Elizabeth St","Fort Collins","80524","(970) 493-6353","Open","Clinic Services & Profile","Egg cryopreservation services","No","110","TOP01","ST12","POINT (-105.0585269 40.574467)"
"2020","TX","Texas","Family Fertility Center","William E. Gibbons, MD","Texas Children's Pavilion for Women, 6651 Main St, Suite E350","Houston","77030","(832) 826-7463","Open","Clinic Services & Profile","Total infants born","103","451","TOP01","ST05","POINT (-95.4027098 29.7082489)"
"2020","TX","Texas","Fertility Specialists of Texas, PLLC","Jerald S. Goldstein, MD","5757 Warren Pkwy, Suite 300","Frisco","75034","(214) 618-2044","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","480","TOP01","ST11","POINT (-96.8371731 33.1056365)"
"2020","MS","Mississippi","Mississippi Reproductive Medicine, PLLC","Randall S. Hines, MD","2500 Lakeland Dr","Flowood","39232","(601) 936-3650","Open","Clinic Services & Profile","Gestational carrier services","Yes","410","TOP01","ST13","POINT (-90.1222775 32.3306239)"
"2020","AZ","Arizona","Arizona Center for Reproductive Endocrinology and Infertility","Timothy J. Gelety, MD","5190 E. Farness Dr, Suite 114","Tucson","85712","(520) 326-0001","Open","Clinic Services & Profile","Total infants born","81","160","TOP01","ST05","POINT (-110.883046 32.2475028)"
"2020","CA","California","Advanced Fertility Associates Medical Group, Inc.","Jennifer V. Ratcliffe, MD, PHD","1111 Sonoma Ave, Suite 214","Santa Rosa","95405","(707) 575-5831","Open","Clinic Services & Profile","Verified lab accreditation","Yes","481","TOP01","ST15","POINT (-122.6999677 38.4420241)"
"2020","AZ","Arizona","Reproductive Health Center","Scot M. Hutchison, MD","4518 E. Camp Lowell Dr","Tucson","85712","(520) 733-0083","Open","Clinic Services & Profile","Donor egg services","Yes","378","TOP01","ST09","POINT (-110.8964109 32.2645511)"
"2020","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Pregnancies","48","8","TOP01","ST03","POINT (-75.1560763 39.9442703)"
"2020","CO","Colorado","CNY Fertility Colorado","Paul C. Magarelli, MD, PHD","265 S. Parkside Dr, Suite 200","Colorado Springs","80910","(719) 475-2229","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","153","TOP01","ST11","POINT (-104.7891021 38.8282693)"
"2020","NC","North Carolina","Atlantic Reproductive Medicine Specialists, PA","Susannah D. Copland, MD","10208 Cerny St, Suite 306","Raleigh","27617","(919) 248-8777","Open","Clinic Services & Profile","SART member","Yes","155","TOP01","ST14","POINT (-78.8006067 35.9016436)"
"2020","LA","Louisiana","Audubon Fertility","Lindsay  Wells, MD","4321 Magnolia St","New Orleans","70115","(504) 891-1390","Open","Clinic Services & Profile","Gestational carrier services","Yes","228","TOP01","ST13","POINT (-90.1025188 29.937509)"
"2020","WA","Washington","Overlake Reproductive Health, Inc., PS","Kevin M. Johnson, MD","11232 N.E. 15th St, Suite 201","Bellevue","98004","(425) 646-4700","Open","Clinic Services & Profile","Total infants born","98","96","TOP01","ST05","POINT (-122.1893912 47.6244604)"
"2020","MO","Missouri","STL Fertility","Molina B. Dayal, MD","555 N. New Ballas Rd, Suite 150","St. Louis","63141","(314) 983-9000","Reorganized","Clinic Services & Profile","Egg cryopreservation services","Yes","164","TOP01","ST12","POINT (-90.4439345 38.6659105)"
"2020","FL","Florida","Florida Fertility Institute","Mark D. Sanchez, MD","2454 N. McMullen Booth Rd, Suite 601","Clearwater","33759","(727) 669-3414","Open","Clinic Services & Profile","Total cycles","376","383","TOP01","ST01","POINT (-82.7074751 28.0103991)"
"2020","CA","California","The Fertility Institutes-Los Angeles, New York, Guadalajara","Jeffrey  Steinberg, MD","16030 Ventura Blvd, Suite 404","Encino","91436","(818) 728-4600","Open","Clinic Services & Profile","Gestational carrier services","Yes","28","TOP01","ST13","POINT (-118.4824828 34.1557673)"
"2020","MN","Minnesota","Midwest Center for Reproductive Health, PA","Randle S. Corfman, MD, PHD","Arbor Lakes Medical Building, 12000 Elm Creek Blvd North, Suite 350","Maple Grove","55369","(763) 494-7700","Open","Clinic Services & Profile","Pregnancies","121","140","TOP01","ST03","POINT (-93.4332879 45.0957075)"
"2020","IL","Illinois","Advanced Reproductive Center","Todd D. Deutch, MD","435 N. Mulford Rd, Suite 9","Rockford","61107","(815) 229-1700","Open","Clinic Services & Profile","Total infants born","106","623","TOP01","ST05","POINT (-88.9989219 42.2719875)"
"2020","HI","Hawaii","Kaiser Permanente Hawaii Region, Reproductive Medicine Division","Jingwen  Hou, MD, PHD","1010 Pensacola St","Honolulu","96814","(808) 432-2540","Open","Clinic Services & Profile","Fertility preservation cycles","0","716","TOP01","ST02","POINT (-157.8462201 21.3008969)"
"2020","MS","Mississippi","University of Mississippi Medical Center","John D. Isaacs, MD","2925 Layfair Dr, Room 146","Flowood","39232","(601) 984-5330","Open","Clinic Services & Profile","Deliveries","20","114","TOP01","ST04","POINT (-90.1127638 32.3275748)"
"2020","ND","North Dakota","Sanford Health Reproductive Medicine Institute","Christina  Broadwell, MD","1111 Harwood Dr South","Fargo","58104","(701) 234-2700","Open","Clinic Services & Profile","Donated embryo services","No","360","TOP01","ST10","POINT (-96.7981057 46.8304166)"
"2020","FL","Florida","IVF Florida Reproductive Associates","David I. Hoffman, MD","2960 N. State Rd 7, Suite 300","Margate","33063","(954) 247-6235","Open","Clinic Services & Profile","Donated embryo services","Yes","192","TOP01","ST10","POINT (-80.2007799 26.2641888)"
"2020","GA","Georgia","Pathways Fertility, Pathways Fertility","Nestor E Dourron, MD","3193 Howell Mill Rd N.W., Suite 214","Atlanta","30327","(404) 228-7199","Reorganized","Clinic Services & Profile","Egg cryopreservation services","Yes","837","TOP01","ST12","POINT (-84.38798 33.749)"
"2020","NV","Nevada","Fertility Center of Las Vegas","Bruce  Shapiro, MD, PHD","8851 W. Sahara Ave, Suite 100","Las Vegas","89117","(702) 254-1777","Open","Clinic Services & Profile","Deliveries","176","233","TOP01","ST04","POINT (-115.2895463 36.1429759)"
"2020","TX","Texas","CCRM Dallas-Fort Worth","Dorette J. Noorhasan, MD","8380 Warren Pkwy, Suite 201","Frisco","75034","(972) 377-2625","Open","Clinic Services & Profile","Donated embryo services","No","427","TOP01","ST10","POINT (-96.8141914 33.108888)"
"2020","WA","Washington","Overlake Reproductive Health, Inc., PS","Kevin M. Johnson, MD","11232 N.E. 15th St, Suite 201","Bellevue","98004","(425) 646-4700","Open","Clinic Services & Profile","Total cycles","420","96","TOP01","ST01","POINT (-122.1893912 47.6244604)"
